id,symbol,company_name,security_type,event_start_date,event_end_date,peak_date,price_start,price_peak,price_end_3d,return_1d_pct,return_3d_pct,return_peak_pct,label_a,label_b,day_after_continuation,volume_event_day,volume_avg_20d_pre,volume_ratio,shares_outstanding,float_shares,market_cap_pre,short_interest_shares,short_pct_float,days_to_cover,sector,industry,exchange,ipo_date,days_since_ipo,catalyst_summary,news_count_event_day,options_available,iv_pre_event,call_oi_pre,put_oi_pre,taxonomy_bucket,taxonomy_confidence,taxonomy_notes,data_source,created_at
50,BBIG,"Vinco Ventures, Inc.",common,2026-03-20T00:00:00,2026-03-25T00:00:00,2026-03-24T00:00:00,0.0008,0.005,0.0034,0.0,325.0,525.0,1,1,,531.0,2039.65,0.26,13000000.0,11665321.0,10400.0,2108418.0,0.16219999,1.23,Consumer Cyclical,Leisure,PNK,,,"Tyde spinoff, short squeeze setup",,0,,,,short_squeeze,0.9,"Seed list: Tyde spinoff, short squeeze setup",yfinance,2026-03-26T20:29:15.967231
30,BBIG,"Vinco Ventures, Inc.",common,2024-01-18T00:00:00,2024-01-23T00:00:00,2024-01-19T00:00:00,0.005,0.02,0.02,100.0,300.0,300.0,1,0,0.0,116687.0,45531.8,2.56,13000000.0,11665321.0,65000.0,2108418.0,0.16219999,1.23,Consumer Cyclical,Leisure,PNK,,,"Tyde spinoff, short squeeze setup",,0,,,,short_squeeze,0.9,"Seed list: Tyde spinoff, short squeeze setup",yfinance,2026-03-26T20:29:15.967220
42,BBIG,"Vinco Ventures, Inc.",common,2025-03-26T00:00:00,2025-03-31T00:00:00,2025-03-27T00:00:00,0.0005,0.002,0.002,0.0,300.0,300.0,1,0,0.0,0.0,2443.1,0.0,13000000.0,11665321.0,6500.0,2108418.0,0.16219999,1.23,Consumer Cyclical,Leisure,PNK,,,"Tyde spinoff, short squeeze setup",,0,,,,short_squeeze,0.9,"Seed list: Tyde spinoff, short squeeze setup",yfinance,2026-03-26T20:29:15.967226
88,PRST,Presto Automation Inc.,common,2025-09-22T00:00:00,2025-09-25T00:00:00,2025-09-24T00:00:00,0.0001,0.0004,0.0004,33.33,300.0,300.0,1,0,0.0,380240.0,20146.35,18.87,418519281.0,105706246.0,41851.928100000005,1820791.0,0.0138,0.08,Technology,Software - Application,PNK,,,"AI restaurant tech, low float squeeze",,0,,,,penny_stock_pump,0.9,"Seed list: AI restaurant tech, low float squeeze",yfinance,2026-03-26T20:29:17.173194
10,BBIG,"Vinco Ventures, Inc.",common,2026-02-17T00:00:00,2026-02-20T00:00:00,2026-02-20T00:00:00,0.005,0.0198,0.0198,518.75,296.0,296.0,1,1,0.0,1580.0,2105.1,0.75,13000000.0,11665321.0,65000.0,2108418.0,0.16219999,1.23,Consumer Cyclical,Leisure,PNK,,,"Tyde spinoff, short squeeze setup",,0,,,,short_squeeze,0.9,"Seed list: Tyde spinoff, short squeeze setup",yfinance,2026-03-26T20:27:30.270998
67,MEGL,Magic Empire Global Limited,adr,2023-04-25T00:00:00,2023-04-28T00:00:00,2023-04-28T00:00:00,1.0246,5.8113,3.96,331.03,286.47,467.15,1,0,0.0,101221800.0,121105.0,835.82,4064050.0,3173944.0,4164025.63,52585.0,0.0217,3.77,Financial Services,Capital Markets,NCM,,,"IPO day 2800%+ move, ~1M share float",,0,,,,penny_stock_pump,0.9,"Seed list: IPO day 2800%+ move, ~1M share float",yfinance,2026-03-26T20:29:16.679667
26,BBIG,"Vinco Ventures, Inc.",common,2023-10-04T00:00:00,2023-10-09T00:00:00,2023-10-09T00:00:00,0.021,0.11,0.08,0.0,280.95,423.81,1,0,1.0,102561.0,26602.65,3.86,13000000.0,11665321.0,273000.0,2108418.0,0.16219999,1.23,Consumer Cyclical,Leisure,PNK,,,"Tyde spinoff, short squeeze setup",,0,,,,short_squeeze,0.9,"Seed list: Tyde spinoff, short squeeze setup",yfinance,2026-03-26T20:29:15.967217
51,BKKT,"Bakkt, Inc.",common,2021-10-20T00:00:00,2021-10-25T00:00:00,2021-10-25T00:00:00,204.25,789.25,765.0,234.43,274.54,286.41,1,0,0.0,8476148.0,54751.4,154.81,30562096.0,28695974.0,6242308108.0,3901087.0,0.1867,2.81,Technology,Software - Infrastructure,NYQ,,,"De-SPAC pop, Mastercard partnership rumors",,1,,,,spac_despac,0.9,"Seed list: De-SPAC pop, Mastercard partnership rumors",yfinance,2026-03-26T20:29:16.063352
68,MEGL,Magic Empire Global Limited,adr,2025-02-12T00:00:00,2025-02-18T00:00:00,2025-02-18T00:00:00,0.5,2.02,1.87,292.86,274.0,304.0,1,0,0.0,142000.0,222200.0,0.64,4064050.0,3173944.0,2032025.0,52585.0,0.0217,3.77,Financial Services,Capital Markets,NCM,,,"IPO day 2800%+ move, ~1M share float",,0,,,,penny_stock_pump,0.9,"Seed list: IPO day 2800%+ move, ~1M share float",yfinance,2026-03-26T20:29:16.679668
79,PRST,Presto Automation Inc.,common,2024-08-23T00:00:00,2024-08-28T00:00:00,2024-08-28T00:00:00,0.0035,0.013,0.0124,153.06,254.29,271.43,1,0,0.0,29874866.0,51255884.3,0.58,418519281.0,105706246.0,1464817.4835,1820791.0,0.0138,0.08,Technology,Software - Application,PNK,,,"AI restaurant tech, low float squeeze",,0,,,,penny_stock_pump,0.9,"Seed list: AI restaurant tech, low float squeeze",yfinance,2026-03-26T20:29:17.173190
